customer_id,name,age,city,product_type,annual_income,credit_score,employment_type,aadhar_no,pan_no,account_opened_date
CUSR-100000,Kiara Gupta,32,Chennai,Personal Loan,3825510,743,Business,4087-2946-3903,RISP7142P,2020-07-14
CUSR-100001,Ishaan Gupta,47,Lucknow,Home Loan,2288994,798,Business,1057-4366-2149,RMTP3471T,2017-09-26
CUSR-100002,Sai Nair,54,Mumbai,Gold Loan,2570385,788,Self-Employed,1893-4425-2620,UWBP6165G,2021-04-15
CUSR-100003,Ananya Bose,48,Hyderabad,Home Loan,2974624,683,Business,4306-9222-1670,TPCP2276F,2019-03-23
CUSR-100004,Aditya Joshi,22,Mumbai,Gold Loan,3983920,673,Self-Employed,9595-8080-8883,XIGP2814O,2024-12-07
CUSR-100005,Myra Sharma,38,Hyderabad,Home Loan,692166,770,Business,7812-8690-6103,KWHP6098C,2024-04-20
CUSR-100006,Krishna Chatterjee,49,Ahmedabad,Home Loan,750487,740,Salaried,2174-6057-2312,AFNP4596N,2022-10-11
CUSR-100007,Riya Chatterjee,34,Jaipur,Credit Card,2562916,643,Business,3840-4422-4467,LIFP1196S,2019-04-08
CUSR-100008,Aaryan Patel,37,Kolkata,Credit Card,2237816,645,Business,4981-2165-8895,QXBP1638R,2023-07-09
CUSR-100009,Sara Patel,44,Kolkata,Home Loan,4468450,772,Self-Employed,8326-9236-8338,CDQP2756H,2019-12-22
CUSR-100010,Aaryan Singh,64,Bangalore,Auto Loan,1818005,619,Self-Employed,8296-6785-6940,CAYP7240N,2023-01-24
CUSR-100011,Sara Nair,53,Kolkata,Home Loan,1786989,728,Self-Employed,2564-3085-8600,OCOP9439D,2022-02-07
CUSR-100012,Sai Bose,62,Lucknow,Home Loan,1946477,697,Salaried,1058-3357-7218,VYPP5000Y,2017-11-27
CUSR-100013,Aadhya Chatterjee,34,Chennai,Auto Loan,991406,624,Self-Employed,5665-8784-9355,DHKP2830R,2017-03-02
CUSR-100014,Krishna Sharma,53,Ahmedabad,Credit Card,4714817,845,Self-Employed,3214-7399-5908,BIDP1047H,2021-09-28
CUSR-100015,Arjun Verma,35,Jaipur,Auto Loan,3433659,746,Self-Employed,3375-4892-3404,KPXP9371E,2024-02-06
CUSR-100016,Aarav Chatterjee,42,Ahmedabad,Home Loan,2700081,746,Self-Employed,7157-7684-7409,TPQP6516F,2024-08-09
CUSR-100017,Saanvi Singh,23,Jaipur,Gold Loan,1940953,797,Business,5106-2722-9632,PHGP4782L,2017-12-16
