customer_id,name,age,city,product_type,annual_income,monthly_salary,credit_score,credit_utilization,savings_change_pct,loan_amount,monthly_emi,current_salary_delay_days,risk_score,risk_level,suggested_action,ability_score,willingness_score,rare_case_type,employment_type,aadhar_no,pan_no,account_opened_date
CUSR-100000,Aarav Kapoor,28,Jaipur,Personal Loan,3146206,262183.83,761,20.77,6.12,4306580.0,358881.67,0,13,Low,Standard Monitoring,39,46,Normal,Business,5297-7681-7739,BHDP1617Q,2020-12-23
CUSR-100001,Aaryan Verma,37,Ahmedabad,Home Loan,2729295,227441.25,790,95.98,-8.03,4177328.0,69622.13,1,87,Critical,🔒 Shield: Limit Cap at 95%,26,74,Victim of Circumstance,Self-Employed,9503-7895-3278,UOGP6212V,2018-08-07
CUSR-100002,Sara Malhotra,46,Bangalore,Personal Loan,2932787,244398.92,692,44.34,4.49,4916727.0,81945.45,0,23,Low,Standard Monitoring,89,53,Normal,Self-Employed,3357-2097-6947,WHHP4447O,2024-08-31
CUSR-100003,Sara Malhotra,28,Lucknow,Personal Loan,4491707,374308.92,621,43.04,2.15,4063932.0,67732.2,0,22,Low,Standard Monitoring,38,73,Victim of Circumstance,Salaried,5784-1880-4274,UXRP3187Y,2017-02-18
CUSR-100004,Sai Verma,50,Bangalore,Credit Card,563138,46928.17,652,43.75,9.33,608858.0,50738.17,0,23,Low,Standard Monitoring,35,83,Victim of Circumstance,Self-Employed,7478-9411-4846,CRAP6179H,2023-07-11
CUSR-100005,Shaurya Chatterjee,54,Kolkata,Home Loan,3180471,265039.25,655,24.77,8.2,4834188.0,201424.5,2,20,Low,Standard Monitoring,73,45,Normal,Salaried,5215-8671-8200,WXWP5666F,2017-12-30
CUSR-100006,Saanvi Sharma,64,Bangalore,Home Loan,1297060,108088.33,716,34.38,10.73,545464.0,15151.78,1,21,Low,Standard Monitoring,90,83,Normal,Self-Employed,4313-7936-9182,EDJP2889I,2022-09-03
CUSR-100007,Kabir Reddy,52,Delhi,Personal Loan,1391553,115962.75,645,92.66,-8.8,4407916.0,183663.17,0,49,High,🔒 Shield: Limit Cap at 92%,59,75,Normal,Salaried,6849-3363-8785,NBMP5092I,2020-02-07
CUSR-100008,Aarav Bose,30,Bangalore,Personal Loan,945328,78777.33,611,68.38,-42.69,2108923.0,58581.19,3,74,High,🛡️ Wellness: Savings Protection,76,28,Strategic Defaulter,Self-Employed,3537-5911-9746,AEHP9911V,2019-02-02
CUSR-100009,Vihaan Kapoor,61,Hyderabad,Gold Loan,817331,68110.92,825,63.21,-38.96,800400.0,22233.33,4,71,High,🛡️ Wellness: Savings Protection,35,82,Victim of Circumstance,Self-Employed,4517-2718-3602,PGDP4090D,2023-01-07
CUSR-100010,Saanvi Joshi,44,Bangalore,Personal Loan,4045657,337138.08,649,21.51,5.87,1287306.0,21455.1,2,19,Low,Standard Monitoring,31,71,Victim of Circumstance,Business,6291-7935-2262,UWNP2536K,2024-12-16
CUSR-100011,Myra Kapoor,64,Jaipur,Gold Loan,4976625,414718.75,755,11.87,2.72,1891970.0,31532.83,1,12,Low,Standard Monitoring,41,72,Normal,Self-Employed,3814-8091-3878,ISCP6153W,2019-05-23
CUSR-100012,Shaurya Sharma,40,Jaipur,Gold Loan,3293476,274456.33,609,35.4,4.84,50780.0,4231.67,1,22,Low,Standard Monitoring,46,39,Normal,Salaried,7125-3007-3941,GEJP1794J,2017-03-19
CUSR-100013,Aaryan Kapoor,30,Pune,Auto Loan,3861991,321832.58,791,29.56,6.74,1476887.0,24614.78,0,17,Low,Standard Monitoring,85,74,Normal,Business,1397-8794-7256,SYIP3755V,2023-07-12
CUSR-100014,Kiara Nair,25,Chennai,Auto Loan,3942373,328531.08,640,44.24,7.02,3956942.0,65949.03,1,25,Low,Standard Monitoring,66,58,Normal,Self-Employed,3284-9274-3784,EIJP5542W,2018-07-30
CUSR-100015,Aarav Sharma,54,Pune,Auto Loan,1554770,129564.17,609,15.28,4.33,2112854.0,176071.17,1,14,Low,Standard Monitoring,40,63,Normal,Salaried,7539-6677-4449,LLDP9510W,2020-04-17
CUSR-100016,Saanvi Deshmukh,55,Kolkata,Home Loan,3062438,255203.17,600,95.83,-5.98,4052228.0,112561.89,4,87,Critical,🔒 Shield: Limit Cap at 95%,79,18,Strategic Defaulter,Business,7929-5093-8012,JCQP7219C,2024-08-01
CUSR-100017,Riya Aggarwal,43,Delhi,Auto Loan,3971837,330986.42,653,29.82,6.97,4911476.0,81857.93,1,19,Low,Standard Monitoring,55,57,Normal,Self-Employed,8820-5547-8856,LFYP6146V,2018-02-18
CUSR-100018,Aaryan Aggarwal,45,Lucknow,Home Loan,1207871,100655.92,773,40.03,2.02,4070150.0,169589.58,0,21,Low,Standard Monitoring,63,87,Normal,Salaried,9712-7519-5825,VIQP2395F,2019-10-24
CUSR-100019,Ishani Chatterjee,32,Jaipur,Gold Loan,2055054,171254.5,823,33.48,9.11,207367.0,3456.12,1,21,Low,Standard Monitoring,51,86,Normal,Self-Employed,7895-3347-6208,JINP8784H,2021-08-28
CUSR-100020,Sara Bose,52,Chennai,Gold Loan,1040877,86739.75,790,38.59,5.81,3225670.0,89601.94,1,23,Low,Standard Monitoring,32,65,Normal,Self-Employed,5669-7984-4188,YDVP3386V,2023-08-21
CUSR-100021,Arjun Gupta,38,Kolkata,Personal Loan,1589795,132482.92,711,25.0,4.97,2458487.0,204873.92,1,18,Low,Standard Monitoring,40,48,Normal,Business,2378-9944-9450,LXSP7469Q,2019-07-25
CUSR-100022,Arjun Chatterjee,61,Jaipur,Auto Loan,4785146,398762.17,834,43.81,9.48,1900499.0,52791.64,1,25,Low,Standard Monitoring,63,52,Normal,Salaried,5275-5066-8041,CREP9812O,2020-03-21
CUSR-100023,Aadhya Joshi,22,Jaipur,Gold Loan,2844058,237004.83,694,25.63,-4.73,4043640.0,112323.33,24,79,High,📞 Call Aadhya Joshi: Salary Delay Relief,63,38,Strategic Defaulter,Business,4814-6513-8341,LUUP1714O,2020-11-15
CUSR-100024,Ishaan Verma,37,Pune,Auto Loan,2661273,221772.75,697,44.57,2.25,2824352.0,117681.33,1,25,Low,Standard Monitoring,77,48,Normal,Business,6195-1804-7079,RBQP5714N,2016-08-06
CUSR-100025,Ishani Verma,25,Mumbai,Gold Loan,2055129,171260.75,718,19.96,4.74,4433271.0,73887.85,1,15,Low,Standard Monitoring,90,49,Normal,Self-Employed,9309-2996-1762,VDXP9262L,2021-05-03
CUSR-100026,Aditya Sharma,28,Delhi,Gold Loan,1501541,125128.42,745,73.37,-49.23,4811895.0,80198.25,2,88,Critical,🛡️ Wellness: Savings Protection,76,32,Strategic Defaulter,Business,9517-9065-5303,VVDP7551P,2019-03-09
CUSR-100027,Diya Reddy,44,Delhi,Home Loan,3123318,260276.5,720,16.22,-7.11,3292472.0,91457.56,24,77,High,📞 Call Diya Reddy: Salary Delay Relief,47,43,Normal,Business,5021-1656-7344,ANMP4081P,2019-08-19
CUSR-100028,Diya Reddy,30,Kolkata,Gold Loan,4636536,386378.0,813,34.56,7.82,2408360.0,40139.33,0,19,Low,Standard Monitoring,24,64,Normal,Self-Employed,9404-4547-8536,EPJP7345P,2017-01-13
CUSR-100029,Kiara Iyer,23,Mumbai,Auto Loan,2352897,196074.75,690,90.96,-5.45,1002132.0,27837.0,2,51,High,🔒 Shield: Limit Cap at 90%,45,79,Normal,Self-Employed,8534-6954-9582,GUXP7390H,2022-04-02
CUSR-100030,Shaurya Aggarwal,31,Mumbai,Personal Loan,4625530,385460.83,691,43.21,5.11,2766381.0,230531.75,1,25,Low,Standard Monitoring,45,55,Normal,Self-Employed,8030-7751-3547,KSHP9610F,2019-08-20
CUSR-100031,Kiara Bose,24,Hyderabad,Gold Loan,695096,57924.67,842,27.52,7.08,452001.0,12555.58,2,21,Low,Standard Monitoring,84,88,Normal,Business,9093-2889-8038,YDUP2641Y,2022-01-05
CUSR-100032,Sai Joshi,45,Lucknow,Home Loan,3224807,268733.92,671,16.77,-6.19,1299376.0,36093.78,22,72,High,📞 Call Sai Joshi: Salary Delay Relief,81,32,Strategic Defaulter,Salaried,6642-5681-8173,XWEP1228U,2018-05-02
CUSR-100033,Ananya Verma,44,Ahmedabad,Personal Loan,3117078,259756.5,707,91.35,-7.43,2427324.0,40455.4,4,57,High,🔒 Shield: Limit Cap at 91%,76,95,Normal,Salaried,2379-6461-9374,FOHP5645T,2017-04-27
CUSR-100034,Aadhya Deshmukh,35,Hyderabad,Home Loan,3178859,264904.92,825,71.21,-35.99,4053170.0,168882.08,4,72,High,🛡️ Wellness: Savings Protection,40,90,Normal,Self-Employed,3965-1749-1042,APBP8087Y,2023-09-05
CUSR-100035,Kiara Sharma,32,Jaipur,Gold Loan,4767348,397279.0,789,23.06,3.87,3611541.0,100320.58,2,19,Low,Standard Monitoring,21,61,Normal,Self-Employed,9635-5412-6465,BLAP4012H,2020-03-10
CUSR-100036,Diya Iyer,28,Delhi,Auto Loan,421739,35144.92,736,41.31,10.21,2511003.0,104625.12,2,27,Low,Standard Monitoring,70,72,Normal,Salaried,3937-5241-1071,YIVP2090J,2020-10-11
CUSR-100037,Arjun Gupta,58,Mumbai,Personal Loan,1418479,118206.58,789,17.57,10.22,942182.0,78515.17,0,12,Low,Standard Monitoring,20,43,Normal,Self-Employed,7121-9753-3120,MBDP6602W,2020-01-25
CUSR-100038,Saanvi Aggarwal,49,Mumbai,Gold Loan,2396915,199742.92,720,13.48,6.98,1921637.0,53378.81,1,13,Low,Standard Monitoring,78,95,Normal,Business,4403-5483-1490,IMVP9710A,2016-05-29
CUSR-100039,Anvi Patel,52,Pune,Personal Loan,1743539,145294.92,794,18.49,4.07,4587798.0,127438.83,2,17,Low,Standard Monitoring,29,66,Normal,Self-Employed,9930-8902-6930,TSIP4637A,2017-04-24
CUSR-100040,Vihaan Verma,59,Mumbai,Home Loan,3287973,273997.75,801,69.11,-36.56,4974021.0,82900.35,3,69,High,🛡️ Wellness: Savings Protection,75,87,Normal,Self-Employed,5622-6784-2811,RUFP6764Q,2021-11-29
CUSR-100041,Shaurya Aggarwal,49,Hyderabad,Credit Card,4887395,407282.92,836,39.99,9.81,3035981.0,84332.81,2,26,Low,Standard Monitoring,92,76,Normal,Self-Employed,1276-2356-4274,MHLP2373I,2025-01-18
CUSR-100042,Riya Reddy,30,Chennai,Home Loan,1344271,112022.58,608,50.47,-40.17,4576225.0,381352.08,1,60,High,🛡️ Wellness: Savings Protection,76,80,Normal,Salaried,3382-6869-3855,LWDP3659I,2024-11-20
CUSR-100043,Krishna Joshi,57,Ahmedabad,Personal Loan,1858460,154871.67,727,39.46,7.73,330550.0,13772.92,0,21,Low,Standard Monitoring,51,60,Normal,Self-Employed,1620-3679-2849,LWDP3644R,2022-01-09
CUSR-100044,Aaryan Patel,46,Hyderabad,Personal Loan,4481227,373435.58,708,16.76,11.35,3036499.0,84347.19,2,17,Low,Standard Monitoring,91,60,Normal,Self-Employed,6600-4738-9225,IRJP9283Y,2016-10-23
CUSR-100045,Aadhya Reddy,48,Kolkata,Personal Loan,1802169,150180.75,659,26.73,0.98,3997580.0,66626.33,12,46,High,Standard Monitoring,31,41,Normal,Self-Employed,4303-6481-3414,AMIP6406M,2021-08-29
CUSR-100046,Aaryan Kapoor,63,Lucknow,Gold Loan,3409403,284116.92,751,12.28,3.6,4409397.0,73489.95,1,12,Low,Standard Monitoring,92,69,Normal,Business,2561-7371-6846,NKEP7121S,2023-06-07
CUSR-100047,Sara Chatterjee,42,Jaipur,Auto Loan,3393230,282769.17,748,23.01,2.74,1843099.0,153591.58,2,19,Low,Standard Monitoring,65,33,Strategic Defaulter,Salaried,6169-1431-2555,XTLP4583O,2023-05-25
CUSR-100048,Saanvi Iyer,62,Pune,Credit Card,2749429,229119.08,842,33.24,4.96,1574864.0,26247.73,2,23,Low,Standard Monitoring,80,63,Normal,Salaried,9666-9637-8605,CCRP5585F,2023-07-08
CUSR-100049,Diya Bose,45,Hyderabad,Credit Card,3801712,316809.33,613,37.15,8.32,3038385.0,253198.75,1,22,Low,Standard Monitoring,73,44,Normal,Self-Employed,3038-3611-9466,OHWP5193L,2016-04-03
CUSR-100050,Arjun Aggarwal,24,Delhi,Auto Loan,3553253,296104.42,795,28.36,3.11,4202798.0,116744.39,1,19,Low,Standard Monitoring,52,74,Normal,Salaried,5754-8695-5451,GIDP3192A,2018-05-05
CUSR-100051,Myra Iyer,60,Chennai,Home Loan,414854,34571.17,733,98.91,-11.66,4898905.0,204121.04,4,87,Critical,🔒 Shield: Limit Cap at 98%,21,52,Normal,Salaried,7675-9770-3143,RWGP3646F,2017-08-20
CUSR-100052,Arjun Patel,42,Ahmedabad,Personal Loan,490987,40915.58,664,65.33,-40.49,2721689.0,113403.71,4,74,High,🛡️ Wellness: Savings Protection,23,63,Normal,Self-Employed,7415-2083-4895,QXXP7398Y,2016-06-06
CUSR-100053,Anvi Joshi,35,Hyderabad,Home Loan,4765640,397136.67,779,26.24,10.32,888824.0,14813.73,1,18,Low,Standard Monitoring,37,31,Normal,Salaried,5248-5312-1265,TEMP8738V,2017-07-21
CUSR-100054,Ananya Patel,62,Bangalore,Auto Loan,483391,40282.58,710,67.55,-41.87,1938530.0,161544.17,2,71,High,🛡️ Wellness: Savings Protection,35,85,Victim of Circumstance,Self-Employed,9199-4558-2251,RXQP9575B,2024-06-24
